PHYSICAL_CITY,DEEDED_ACREAGE,TOTAL_SALE_PRICE,HEATED_AREA
FUQUAY VARINA,165.55,0,2056
FUQUAY VARINA,83,0,0
FUQUAY VARINA,0.3,59000,1317
RALEIGH,0.13,52000,0
RALEIGH,0.13,165000,1104
WENDELL,0.63,0,2840
RALEIGH,0.28,116500,1050
RALEIGH,0.37,240000,2424
RALEIGH,2.26,485000,4997
RALEIGH,0.33,220000,2752
RALEIGH,0.62,175000,1856
RALEIGH,0.29,160000,2064
RALEIGH,0.62,174500,2913
RALEIGH,0.22,565000,2176
RALEIGH,0.54,4500,1092
CARY,0.48,163000,1230
RALEIGH,0.47,310000,1930
RALEIGH,6.77,1351000,10000
RALEIGH,0.58,15000,1318
RALEIGH,2.01,1000,0
RALEIGH,0.21,55000,744
RALEIGH,0.25,314000,1685
CARY,0.41,35000,2211
GARNER,6.36,149000,2436
GARNER,0.44,0,1537
RALEIGH,0.45,98000,1170
RALEIGH,0.22,133000,1335
CARY,1.1,250000,2957
RALEIGH,0.32,325000,1972
CARY,10,0,88616
CARY,10,0,28091
RALEIGH,2.23,0,0
RALEIGH,0.19,0,0
RALEIGH,0.28,0,0
RALEIGH,0.31,0,0
RALEIGH,0.66,0,0
RALEIGH,0.3,235000,1600
RALEIGH,0.37,167000,1600
RALEIGH,0.3,182000,1456
RALEIGH,0.27,83500,1575
RALEIGH,0.35,154000,1687
RALEIGH,0.39,160000,1725
RALEIGH,0.44,243000,2250
RALEIGH,0.42,356000,2506
RALEIGH,0.28,0,1687
RALEIGH,0.31,70000,1687
RALEIGH,0.33,29000,1575
RALEIGH,0.4,184500,1575
RALEIGH,0.48,199000,1687
RALEIGH,0.36,115000,1212
RALEIGH,0.39,123000,1456
RALEIGH,0.46,29000,1575
RALEIGH,0.33,170000,1716
RALEIGH,0.28,61500,2200
RALEIGH,0.27,32000,2012
RALEIGH,0.24,205000,1712
RALEIGH,0.21,202000,1600
RALEIGH,0.25,157000,1575
RALEIGH,0.29,107000,1926
RALEIGH,0.39,59500,1668
RALEIGH,0.38,32000,1875
RALEIGH,0.36,185000,1640
RALEIGH,0.35,43000,1550
RALEIGH,0.41,30000,1575
RALEIGH,0.3,22500,1875
RALEIGH,0.27,56000,1575
RALEIGH,0.33,136500,1875
RALEIGH,0.28,28500,1650
RALEIGH,0.31,126000,1725
RALEIGH,0.39,127500,1183
RALEIGH,0.26,120000,1625
RALEIGH,0.23,53500,1215
RALEIGH,0.22,24500,1595
RALEIGH,0.27,170500,1396
RALEIGH,0.23,29000,1839
RALEIGH,0.26,88000,1830
RALEIGH,0.24,120000,1687
RALEIGH,0.21,36000,1725
RALEIGH,0.31,73000,1912
RALEIGH,0.28,28500,1125
RALEIGH,0.39,37500,1150
RALEIGH,0.51,184500,1889
RALEIGH,0.31,170500,1575
RALEIGH,0.33,220000,1600
RALEIGH,0.3,235000,1420
RALEIGH,0.26,21000,1250
RALEIGH,0.29,145000,1600
RALEIGH,0.29,200000,1606
RALEIGH,0.29,155000,1600
RALEIGH,0.3,33000,2139
RALEIGH,0.31,77500,1737
RALEIGH,0.29,129000,1620
RALEIGH,0.31,74500,1612
RALEIGH,0.29,29500,1506
RALEIGH,0.21,140000,1575
RALEIGH,0.32,116500,1612
RALEIGH,0.25,201000,1650
RALEIGH,0.25,132000,1866
RALEIGH,0.28,129500,1225
RALEIGH,0.29,125000,1411
RALEIGH,0.27,64000,1725
RALEIGH,0.27,97500,1200
RALEIGH,0.28,230000,1572
RALEIGH,0.27,0,1600
RALEIGH,0.27,119000,1620
RALEIGH,0.26,122000,1777
RALEIGH,0.27,167500,1712
RALEIGH,0.28,160000,1620
RALEIGH,0.28,180000,1650
RALEIGH,0.27,24000,1225
RALEIGH,0.27,230000,1395
RALEIGH,0.26,15000,1250
RALEIGH,0.3,188000,2189
RALEIGH,0.35,185500,2200
RALEIGH,0.28,31500,2200
RALEIGH,0.26,179000,1650
RALEIGH,0.25,35500,2200
RALEIGH,0.26,97000,1650
RALEIGH,0.26,193500,1650
RALEIGH,0.28,36000,1650
RALEIGH,0.31,82000,1100
RALEIGH,0.31,0,1100
RALEIGH,0.33,205000,1650
RALEIGH,0.33,90000,1100
RALEIGH,0.26,150000,2328
RALEIGH,0.26,180000,1650
RALEIGH,0.27,26000,1100
RALEIGH,0.29,192000,2145
RALEIGH,0.06,0,0
RALEIGH,0.33,171000,1300
RALEIGH,0.35,0,0
RALEIGH,0.3,25000,1462
RALEIGH,0.19,150000,1188
RALEIGH,0.23,110000,1200
RALEIGH,0.32,91000,1188
RALEIGH,0.2,103000,1100
RALEIGH,0.15,109000,1188
RALEIGH,0.23,80000,1320
RALEIGH,0.31,94500,2400
RALEIGH,0.17,135000,1020
RALEIGH,0.14,110500,1020
RALEIGH,0.3,113000,1224
RALEIGH,0.24,68000,1320
RALEIGH,0.44,169000,1320
RALEIGH,0.21,19500,1188
RALEIGH,0.3,90500,2400
RALEIGH,0.32,0,2076
RALEIGH,0.46,22000,1200
RALEIGH,0.84,104000,1230
RALEIGH,0.18,100000,1184
RALEIGH,0.18,68000,1200
RALEIGH,0.19,133500,1221
RALEIGH,0.29,140000,1230
RALEIGH,0.22,97000,1320
RALEIGH,0.23,165000,1500
RALEIGH,0.18,25500,1000
RALEIGH,0.33,95000,1530
RALEIGH,0.35,120000,1080
RALEIGH,0.18,134000,1480
RALEIGH,0.35,33500,2400
RALEIGH,0.27,130000,2000
RALEIGH,0.22,174000,1900
RALEIGH,0.4,95000,1425
RALEIGH,0.19,88000,1093
RALEIGH,0.19,152000,1221
RALEIGH,0.18,88000,1161
RALEIGH,0.16,29000,1000
RALEIGH,0.19,101000,920
RALEIGH,0.19,23500,1118
RALEIGH,0.28,165000,1152
RALEIGH,0.27,88000,1254
RALEIGH,0.25,100000,1050
RALEIGH,0.23,112000,1080
RALEIGH,0.23,109000,1080
RALEIGH,0.21,36000,1020
RALEIGH,3,130000,2022
CARY,0.61,50000,3579
RALEIGH,0.38,0,1875
RALEIGH,0.36,0,0
RALEIGH,0.82,52000,648
RALEIGH,0.29,31500,2569
RALEIGH,0.26,140000,1080
RALEIGH,0.3,190000,1563
RALEIGH,0.4,257000,1776
RALEIGH,0.15,525000,2286
RALEIGH,1.27,0,2606
CARY,0.27,120000,1826
RALEIGH,0.29,180000,1804
FUQUAY VARINA,3.81,225000,2228
FUQUAY VARINA,1.85,10000,0
FUQUAY VARINA,6.81,20000,0
WAKE FOREST,27.2,0,0
GARNER,0.35,0,1490
RALEIGH,0.54,300000,3294
RALEIGH,0.28,307500,1334
GARNER,0.48,0,0
FUQUAY VARINA,0.29,215000,2328
WAKE FOREST,5.03,0,0
RALEIGH,0.7,301500,2769
WAKE FOREST,14.68,0,0
FUQUAY VARINA,0.86,232500,2824
FUQUAY VARINA,65.35,0,0
CREEDMOOR,3,5000,0
RALEIGH,0.17,415000,1536
FUQUAY VARINA,9.95,0,4711
RALEIGH,0.47,97000,1841
RALEIGH,0.47,82000,1688
RALEIGH,7.51,0,1630
FUQUAY VARINA,0.17,1000,864
FUQUAY VARINA,0.17,0,816
FUQUAY VARINA,21.36,0,0
FUQUAY VARINA,13.69,0,0
FUQUAY VARINA,0.63,240000,3688
FUQUAY VARINA,17.8,0,0
GARNER,0.39,7000,0
WAKE FOREST,1.46,1500,1080
WAKE FOREST,0.48,94000,1039
WAKE FOREST,0.48,94000,1789
WAKE FOREST,0.3,0,0
APEX,1.5,0,1523
MORRISVILLE,8.82,2250000,1600
MORRISVILLE,8.82,2250000,2100
MORRISVILLE,5.85,140000,8240
MORRISVILLE,5.85,140000,2000
RALEIGH,1.33,0,46584
RALEIGH,1.33,0,5376
RALEIGH,0.32,370000,1228
RALEIGH,0.3,195000,2010
CARY,0.43,130000,2353
RALEIGH,0.58,230500,1486
RALEIGH,0.47,245000,4074
WENDELL,0.64,146500,1706
RALEIGH,0.42,330000,2926
RALEIGH,0.4,35000,1858
FUQUAY VARINA,0.34,105000,1296
FUQUAY VARINA,0.34,105000,1176
FUQUAY VARINA,0.46,0,1936
FUQUAY VARINA,0.38,0,1260
FUQUAY VARINA,0.38,0,1260
FUQUAY VARINA,0.2,0,0
WILLOW SPRING,17,0,0
WILLOW SPRING,0.86,0,0
WILLOW SPRING,40.21,0,0
FUQUAY VARINA,0.45,243000,3313
FUQUAY VARINA,0.62,35000,2000
FUQUAY VARINA,0.26,13500,1160
FUQUAY VARINA,0.19,56500,1374
FUQUAY VARINA,0.17,25000,1232
FUQUAY VARINA,0.19,58000,1198
FUQUAY VARINA,0.3,53000,0
FUQUAY VARINA,0.83,0,2556
FUQUAY VARINA,0.69,0,1008
FUQUAY VARINA,0.69,0,1176
FUQUAY VARINA,0.18,174000,1200
FUQUAY VARINA,0.38,0,1305
FUQUAY VARINA,0.17,0,1524
FUQUAY VARINA,0.16,0,1184
FUQUAY VARINA,0.24,0,1200
FUQUAY VARINA,0.18,0,0
FUQUAY VARINA,0.59,0,1352
FUQUAY VARINA,0.59,0,1352
FUQUAY VARINA,0.59,0,1352
FUQUAY VARINA,0.25,35000,1500
FUQUAY VARINA,0.14,45000,6000
FUQUAY VARINA,0.41,75000,1746
FUQUAY VARINA,0.17,55000,1168
FUQUAY VARINA,0.28,0,1064
FUQUAY VARINA,0.31,58000,1176
FUQUAY VARINA,0.31,58000,1252
FUQUAY VARINA,9.34,0,0
FUQUAY VARINA,0.12,350000,4000
RALEIGH,0.24,145000,2272
FUQUAY VARINA,0.43,52000,1762
FUQUAY VARINA,43.9,0,0
HOLLY SPRINGS,0.34,0,1104
HOLLY SPRINGS,0.29,70000,1426
FUQUAY VARINA,5.36,0,0
FUQUAY VARINA,0.46,0,0
FUQUAY VARINA,1.68,250000,2366
FUQUAY VARINA,1.58,373000,2727
FUQUAY VARINA,3.31,0,3525
FUQUAY VARINA,3.12,149500,3421
FUQUAY VARINA,2.24,325000,2278
FUQUAY VARINA,1.84,0,0
FUQUAY VARINA,0.35,0,616
FUQUAY VARINA,0.35,0,1246
FUQUAY VARINA,1.65,410000,3319
FUQUAY VARINA,4.69,0,0
HOLLY SPRINGS,175.85,0,0
HOLLY SPRINGS,2.5,0,0
FUQUAY VARINA,0.37,203500,2127
FUQUAY VARINA,2.38,475000,4726
FUQUAY VARINA,0.2,105000,1769
APEX,2.92,1500,0
WILLOW SPRING,113.01,0,0
WILLOW SPRING,8.25,14000,0
RALEIGH,0.27,156500,1416
CARY,0.35,208000,1753
RALEIGH,0.42,119000,2500
RALEIGH,0.4,405000,3795
RALEIGH,0.2,0,1705
RALEIGH,0.2,0,1412
RALEIGH,0.31,325000,2355
RALEIGH,0.49,389000,2868
RALEIGH,0.1,12500,1148
RALEIGH,0.15,265000,1121
RALEIGH,0.09,37500,1364
GARNER,0.37,94000,1080
GARNER,0.51,20000,0
GARNER,0.6,18000,1479
GARNER,0.6,18000,4889
GARNER,0.6,18000,2471
GARNER,0.49,287000,3600
RALEIGH,0.48,32000,1408
RALEIGH,1.28,0,0
RALEIGH,0.65,340000,1591
RALEIGH,0.32,48000,2114
RALEIGH,0.26,88000,1520
CARY,0.43,24500,2519
RALEIGH,0.74,94000,1570
RALEIGH,0.48,0,1753
RALEIGH,2.09,0,3656
RALEIGH,1.07,0,0
RALEIGH,2.53,15000,0
RALEIGH,0.45,0,1339
RALEIGH,0.51,47500,1500
RALEIGH,0.25,148500,1075
RALEIGH,1.04,37000,2025
GARNER,0.46,100000,1439
CARY,0.33,170000,1483
CARY,0.89,57000,4505
WAKE FOREST,0.47,129000,1662
GARNER,0.79,1500,2591
RALEIGH,0.82,146500,2428
RALEIGH,0.88,30500,1128
RALEIGH,0.47,346500,2717
RALEIGH,0.04,195000,2113
RALEIGH,0.4,928000,5281
RALEIGH,1.62,0,2321
RALEIGH,0.36,119500,1476
RALEIGH,0.42,150000,2408
RALEIGH,0.78,0,2231
NEW HILL,1.17,80000,900
RALEIGH,0.2,260000,962
KNIGHTDALE,0.54,23000,1500
RALEIGH,0.21,262000,1704
RALEIGH,0.14,515000,2820
RALEIGH,0.36,92000,1606
RALEIGH,0.46,460000,3240
RALEIGH,0.45,128000,1697
RALEIGH,1.09,0,1740
RALEIGH,0.92,200000,2035
RALEIGH,0.18,0,2139
RALEIGH,0.84,117000,1830
RALEIGH,1.08,0,0
RALEIGH,0.35,0,1798
RALEIGH,0.24,0,1160
RALEIGH,0.28,200000,1690
RALEIGH,2.3,0,0
RALEIGH,0.54,0,0
RALEIGH,1.24,0,5611
RALEIGH,0.56,0,14490
CARY,0.23,0,4037
CARY,0.22,0,0
RALEIGH,0.35,105000,1000
RALEIGH,0.44,0,1589
RALEIGH,0.45,0,1960
CARY,0.41,262000,2561
CARY,0.41,27500,1248
GARNER,1.43,0,1421
GARNER,1.6,0,5102
GARNER,2.93,0,0
RALEIGH,0.42,150000,2006
GARNER,0.82,0,1861
GARNER,0.71,0,0
GARNER,1.08,925000,7860
GARNER,0.51,0,3312
GARNER,4.33,0,0
RALEIGH,0.57,369500,2468
RALEIGH,0.48,164500,1371
RALEIGH,0.44,0,12112
RALEIGH,0.4,0,2570
RALEIGH,0.18,0,0
RALEIGH,1.3,0,339228
RALEIGH,0.1,0,0
GARNER,0.33,105000,1507
RALEIGH,0.76,0,20812
RALEIGH,0.34,260000,1862
RALEIGH,0.24,430000,4740
RALEIGH,2.65,0,7200
RALEIGH,2.65,0,3730
RALEIGH,0.43,48000,1726
RALEIGH,0.39,42500,1655
RALEIGH,0.69,775000,17160
RALEIGH,0.57,0,1980
RALEIGH,1,129000,1462
RALEIGH,0.14,300000,1113
RALEIGH,0.41,805000,3562
RALEIGH,0.61,457500,3743
RALEIGH,6,3000000,35236
RALEIGH,6,3000000,4410
RALEIGH,0.48,0,3706
RALEIGH,0.94,168000,1308
GARNER,0.35,105000,1558
RALEIGH,0.3,230000,3692
RALEIGH,0.24,0,2752
RALEIGH,0.2,345000,1321
WAKE FOREST,0.31,0,1064
ZEBULON,0.16,0,0
ZEBULON,0.06,0,0
ZEBULON,0.12,0,884
WENDELL,88.48,0,1176
RALEIGH,6.02,15500000,24006
RALEIGH,6.02,15500000,27850
RALEIGH,6.02,15500000,1092
GARNER,0.27,0,1443
RALEIGH,0.29,0,1350
ZEBULON,1.68,0,1404
KNIGHTDALE,0.53,1000,0
RALEIGH,0.24,0,0
RALEIGH,0.18,190000,1275
WAKE FOREST,0.22,30000,1022
WAKE FOREST,0.33,140000,2400
RALEIGH,0.46,104000,1522
RALEIGH,0.46,92500,1972
RALEIGH,0.33,1105000,3677
RALEIGH,0.68,55000,0
ZEBULON,0.49,33500,1465
RALEIGH,0.44,165000,1479
RALEIGH,0.44,113500,2556
RALEIGH,0.81,226500,4071
RALEIGH,0.14,198500,1215
RALEIGH,0.33,152000,1894
RALEIGH,0.31,415000,2636
WENDELL,1.08,0,0
WAKE FOREST,0.45,0,1500
RALEIGH,0.25,88500,1390
RALEIGH,1.02,257500,2426
RALEIGH,1.19,99000,23750
RALEIGH,0.33,180000,2205
ZEBULON,1.3,0,2604
KNIGHTDALE,0.47,0,1704
ZEBULON,0.79,240000,2673
ZEBULON,0.05,51000,4500
ZEBULON,0.1,0,0
ZEBULON,0.38,0,0
ZEBULON,0.29,240000,2992
ZEBULON,0.33,65000,1040
ZEBULON,0.96,0,0
RALEIGH,0.58,42000,1798
RALEIGH,1.23,0,0
RALEIGH,0.21,125000,1144
ZEBULON,0.33,95000,1716
GARNER,0.35,12000,1400
ZEBULON,1.13,101000,1680
RALEIGH,0.21,28000,768
RALEIGH,0.46,0,1532
RALEIGH,0.46,0,1328
RALEIGH,0.46,75000,1579
YOUNGSVILLE,1,0,1272
WAKE FOREST,1.28,147000,1330
WENDELL,0.46,35000,875
RALEIGH,0.22,65500,1012
HOLLY SPRINGS,5.35,0,0
HOLLY SPRINGS,0.28,0,1425
WAKE FOREST,0.19,12500,1220
WAKE FOREST,0.26,0,978
RALEIGH,0.24,148000,1491
RALEIGH,0.32,157000,2612
ZEBULON,1,120000,1596
RALEIGH,0.34,350000,0
WENDELL,0.2,12500,1344
RALEIGH,0.46,97000,1040
ZEBULON,2,0,1442
RALEIGH,0.27,0,1470
WENDELL,0.49,139000,1928
RALEIGH,0.24,39000,1325
GARNER,0.46,103000,1182
WAKE FOREST,0.92,3000,1402
ZEBULON,0.56,0,0
WENDELL,0.47,50000,2025
RALEIGH,0.26,32500,2086
WAKE FOREST,0.39,100000,1175
WAKE FOREST,0.24,0,2090
ROLESVILLE,0.53,105000,1400
RALEIGH,0.28,225000,2292
RALEIGH,0.2,72500,1188
WAKE FOREST,0.41,120000,0
RALEIGH,0.22,179000,1012
RALEIGH,0.31,109000,1959
RALEIGH,0.18,1000,0
RALEIGH,0.65,76500,3526
RALEIGH,0.94,240000,2524
RALEIGH,0.43,128500,2186
RALEIGH,0.51,0,2170
RALEIGH,0.2,67000,755
RALEIGH,0.41,194500,2619
GARNER,0.42,0,1325
RALEIGH,0.31,477000,1963
HOLLY SPRINGS,27.92,15000,0
RALEIGH,4.49,0,1004
FUQUAY VARINA,0.18,97000,1077
RALEIGH,0.63,142500,4384
RALEIGH,0.63,142500,3600
RALEIGH,0.63,142500,5232
RALEIGH,0.34,312000,3508
RALEIGH,0.26,98500,1876
RALEIGH,0.68,540000,4852
RALEIGH,0.64,47850000,249480
RALEIGH,0.63,0,4540
RALEIGH,0.36,67000,2809
RALEIGH,0.23,95000,1419
RALEIGH,0.43,1300000,1200
RALEIGH,0.31,800000,8016
RALEIGH,1.04,2525000,7204
RALEIGH,1.04,2525000,4430
RALEIGH,1.04,2525000,9612
RALEIGH,0.86,1471000,2988
CLAYTON,57.6,0,0
RALEIGH,3.44,25000,0
CLAYTON,2.87,791500,3900
CLAYTON,2.87,791500,2000
CARY,0.6,167000,2964
RALEIGH,0.45,20000,1584
RALEIGH,0.21,290000,1886
RALEIGH,0.21,290000,448
RALEIGH,0.4,150000,1736
RALEIGH,0.37,583000,2852
WAKE FOREST,1,93000,3016
RALEIGH,4.33,0,1320
GARNER,3.23,60000,1114
RALEIGH,0.49,77000,3058
GARNER,0.37,25000,984
WAKE FOREST,0.75,0,0
RALEIGH,0.11,0,1150
RALEIGH,0.14,55500,1424
RALEIGH,0.21,0,676
RALEIGH,0.16,0,676
RALEIGH,0.17,0,1687
RALEIGH,0.29,0,975
RALEIGH,0.16,450000,3786
RALEIGH,0.5,120000,1544
GARNER,0.38,175000,2037
RALEIGH,0.27,204000,1946
RALEIGH,0.21,220000,936
RALEIGH,0.3,450000,3856
RALEIGH,0.44,160000,1620
RALEIGH,0.29,63000,1714
KNIGHTDALE,0.27,20000,1212
CARY,0.35,0,1131
RALEIGH,2.68,0,0
RALEIGH,3.09,870000,15196
RALEIGH,3.09,870000,880
RALEIGH,3.09,870000,5250
RALEIGH,3.01,8507000,11931
RALEIGH,3.01,8507000,16720
RALEIGH,3.01,8507000,11460
WAKE FOREST,0.6,0,0
RALEIGH,0.77,0,2186
RALEIGH,1.89,295000,3724
RALEIGH,0.25,125000,0
RALEIGH,0.17,489000,1498
RALEIGH,0.11,144000,2658
RALEIGH,0.37,165000,1699
FUQUAY VARINA,0.39,165000,3100
RALEIGH,0.35,129000,2485
WAKE FOREST,1.36,155000,1680
GARNER,2.25,74000,989
GARNER,2.25,74000,1906
RALEIGH,0.2,121500,1870
FUQUAY VARINA,0.22,107500,2316
FUQUAY VARINA,0.2,0,0
RALEIGH,0.25,26000,1727
RALEIGH,0.39,150000,0
CARY,0.41,250000,2318
CARY,1.69,1800000,16958
GARNER,6.4,286000,2015
RALEIGH,0.55,74000,2462
NEW HILL,1.28,0,0
RALEIGH,0.35,390000,1707
RALEIGH,0.34,0,2077
RALEIGH,0.47,229000,1956
KNIGHTDALE,0.69,0,1591
WAKE FOREST,1.93,51000,1080